Make,Model,Type,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length
Acura,MDX,SUV,Asia,All,36945.0,33337.0,3.5,6.0,265,17,23,4451,106,189
Acura,RSX Type S 2dr,Sedan,Asia,Front,23820.0,21761.0,2.0,4.0,200,24,31,2778,101,172
Acura,TSX 4dr,Sedan,Asia,Front,26990.0,24647.0,2.4,4.0,200,22,29,3230,105,183
Acura,TL 4dr,Sedan,Asia,Front,33195.0,30299.0,3.2,6.0,270,20,28,3575,108,186
Acura,3.5 RL 4dr,Sedan,Asia,Front,43755.0,39014.0,3.5,6.0,225,18,24,3880,115,197
Acura,3.5 RL w/Navigation 4dr,Sedan,Asia,Front,46100.0,41100.0,3.5,6.0,225,18,24,3893,115,197
Acura,NSX coupe 2dr manual S,Sports,Asia,Rear,89765.0,79978.0,3.2,6.0,290,17,24,3153,100,174
Audi,A4 1.8T 4dr,Sedan,Europe,Front,25940.0,23508.0,1.8,4.0,170,22,31,3252,104,179
Audi,A41.8T convertible 2dr,Sedan,Europe,Front,35940.0,32506.0,1.8,4.0,170,23,30,3638,105,180
Audi,A4 3.0 4dr,Sedan,Europe,Front,31840.0,28846.0,3.0,6.0,220,20,28,3462,104,179
Audi,A4 3.0 Quattro 4dr manual,Sedan,Europe,All,33430.0,30366.0,3.0,6.0,220,17,26,3583,104,179
Audi,A4 3.0 Quattro 4dr auto,Sedan,Europe,All,34480.0,31388.0,3.0,6.0,220,18,25,3627,104,179
Audi,A6 3.0 4dr,Sedan,Europe,Front,36640.0,33129.0,3.0,6.0,220,20,27,3561,109,192
Audi,A6 3.0 Quattro 4dr,Sedan,Europe,All,39640.0,35992.0,3.0,6.0,220,18,25,3880,109,192
Audi,A4 3.0 convertible 2dr,Sedan,Europe,Front,42490.0,38325.0,3.0,6.0,220,20,27,3814,105,180
Audi,A4 3.0 Quattro convertible 2dr,Sedan,Europe,All,44240.0,40075.0,3.0,6.0,220,18,25,4013,105,180
Audi,A6 2.7 Turbo Quattro 4dr,Sedan,Europe,All,42840.0,38840.0,2.7,6.0,250,18,25,3836,109,192
Audi,A6 4.2 Quattro 4dr,Sedan,Europe,All,49690.0,44936.0,4.2,8.0,300,17,24,4024,109,193
Audi,A8 L Quattro 4dr,Sedan,Europe,All,69190.0,64740.0,4.2,8.0,330,17,24,4399,121,204
Audi,S4 Quattro 4dr,Sedan,Europe,All,48040.0,43556.0,4.2,8.0,340,14,20,3825,104,179
Audi,RS 6 4dr,Sports,Europe,Front,84600.0,76417.0,4.2,8.0,450,15,22,4024,109,191
Audi,TT 1.8 convertible 2dr (coupe),Sports,Europe,Front,35940.0,32512.0,1.8,4.0,180,20,28,3131,95,159
Audi,TT 1.8 Quattro 2dr (convertible),Sports,Europe,All,37390.0,33891.0,1.8,4.0,225,20,28,2921,96,159
Audi,TT 3.2 coupe 2dr (convertible),Sports,Europe,All,40590.0,36739.0,3.2,6.0,250,21,29,3351,96,159
Audi,A6 3.0 Avant Quattro,Wagon,Europe,All,40840.0,37060.0,3.0,6.0,220,18,25,4035,109,192
Audi,S4 Avant Quattro,Wagon,Europe,All,49090.0,44446.0,4.2,8.0,340,15,21,3936,104,179
BMW,X3 3.0i,SUV,Europe,All,37000.0,33873.0,3.0,6.0,225,16,23,4023,110,180
BMW,X5 4.4i,SUV,Europe,All,52195.0,47720.0,4.4,8.0,325,16,22,4824,111,184
BMW,325i 4dr,Sedan,Europe,Rear,28495.0,26155.0,2.5,6.0,184,20,29,3219,107,176
BMW,325Ci 2dr,Sedan,Europe,Rear,30795.0,28245.0,2.5,6.0,184,20,29,3197,107,177
BMW,325Ci convertible 2dr,Sedan,Europe,Rear,37995.0,34800.0,2.5,6.0,184,19,27,3560,107,177
BMW,325xi 4dr,Sedan,Europe,All,30245.0,27745.0,2.5,6.0,184,19,27,3461,107,176
BMW,330i 4dr,Sedan,Europe,Rear,35495.0,32525.0,3.0,6.0,225,20,30,3285,107,176
BMW,330Ci 2dr,Sedan,Europe,Rear,36995.0,33890.0,3.0,6.0,225,20,30,3285,107,176
BMW,330xi 4dr,Sedan,Europe,All,37245.0,34115.0,3.0,6.0,225,20,29,3483,107,176
BMW,525i 4dr,Sedan,Europe,Rear,39995.0,36620.0,2.5,6.0,184,19,28,3428,114,191
BMW,330Ci convertible 2dr,Sedan,Europe,Rear,44295.0,40530.0,3.0,6.0,225,19,28,3616,107,177
BMW,530i 4dr,Sedan,Europe,Rear,44995.0,41170.0,3.0,6.0,225,20,30,3472,114,191
BMW,545iA 4dr,Sedan,Europe,Rear,54995.0,50270.0,4.4,8.0,325,18,26,3814,114,191
BMW,745i 4dr,Sedan,Europe,Rear,69195.0,63190.0,4.4,8.0,325,18,26,4376,118,198
BMW,745Li 4dr,Sedan,Europe,Rear,73195.0,66830.0,4.4,8.0,325,18,26,4464,123,204
BMW,M3 coupe 2dr,Sports,Europe,Rear,48195.0,44170.0,3.2,6.0,333,16,24,3415,108,177
BMW,M3 convertible 2dr,Sports,Europe,Rear,56595.0,51815.0,3.2,6.0,333,16,23,3781,108,177
BMW,Z4 convertible 2.5i 2dr,Sports,Europe,Rear,33895.0,31065.0,2.5,6.0,184,20,28,2932,98,161
BMW,Z4 convertible 3.0i 2dr,Sports,Europe,Rear,41045.0,37575.0,3.0,6.0,225,21,29,2998,98,161
BMW,325xi Sport,Wagon,Europe,All,32845.0,30110.0,2.5,6.0,184,19,26,3594,107,176
Buick,Rainier,SUV,USA,All,37895.0,34357.0,4.2,6.0,275,15,21,4600,113,193
Buick,Rendezvous CX,SUV,USA,Front,26545.0,24085.0,3.4,6.0,185,19,26,4024,112,187
Buick,Century Custom 4dr,Sedan,USA,Front,22180.0,20351.0,3.1,6.0,175,20,30,3353,109,195
Buick,LeSabre Custom 4dr,Sedan,USA,Front,26470.0,24282.0,3.8,6.0,205,20,29,3567,112,200
Buick,Regal LS 4dr,Sedan,USA,Front,24895.0,22835.0,3.8,6.0,200,20,30,3461,109,196
Buick,Regal GS 4dr,Sedan,USA,Front,28345.0,26047.0,3.8,6.0,240,18,28,3536,109,196
Buick,LeSabre Limited 4dr,Sedan,USA,Front,32245.0,29566.0,3.8,6.0,205,20,29,3591,112,200
Buick,Park Avenue 4dr,Sedan,USA,Front,35545.0,32244.0,3.8,6.0,205,20,29,3778,114,207
Buick,Park Avenue Ultra 4dr,Sedan,USA,Front,40720.0,36927.0,3.8,6.0,240,18,28,3909,114,207
Cadillac,Escalade,SUV,USA,Front,52795.0,48377.0,5.3,8.0,295,14,18,5367,116,199
Cadillac,SRX V8,SUV,USA,Front,46995.0,43523.0,4.6,8.0,320,16,21,4302,116,195
Cadillac,CTS VVT 4dr,Sedan,USA,Rear,30835.0,28575.0,3.6,6.0,255,18,25,3694,113,190
Cadillac,Deville 4dr,Sedan,USA,Front,45445.0,41650.0,4.6,8.0,275,18,26,3984,115,207
Cadillac,Deville DTS 4dr,Sedan,USA,Front,50595.0,46362.0,4.6,8.0,300,18,26,4044,115,207
Cadillac,Seville SLS 4dr,Sedan,USA,Front,47955.0,43841.0,4.6,8.0,275,18,26,3992,112,201
Cadillac,XLR convertible 2dr,Sports,USA,Rear,76200.0,70546.0,4.6,8.0,320,17,25,3647,106,178
Cadillac,Escalade EXT,Truck,USA,All,52975.0,48541.0,6.0,8.0,345,13,17,5879,130,221
Chevrolet,Suburban 1500 LT,SUV,USA,Front,42735.0,37422.0,5.3,8.0,295,14,18,4947,130,219
Chevrolet,Tahoe LT,SUV,USA,All,41465.0,36287.0,5.3,8.0,295,14,18,5050,116,197
Chevrolet,TrailBlazer LT,SUV,USA,Front,30295.0,27479.0,4.2,6.0,275,16,21,4425,113,192
Chevrolet,Tracker,SUV,USA,Front,20255.0,19108.0,2.5,6.0,165,19,22,2866,98,163
Chevrolet,Aveo 4dr,Sedan,USA,Front,11690.0,10965.0,1.6,4.0,103,28,34,2370,98,167
Chevrolet,Aveo LS 4dr hatch,Sedan,USA,Front,12585.0,11802.0,1.6,4.0,103,28,34,2348,98,153
Chevrolet,Cavalier 2dr,Sedan,USA,Front,14610.0,13697.0,2.2,4.0,140,26,37,2617,104,183
Chevrolet,Cavalier 4dr,Sedan,USA,Front,14810.0,13884.0,2.2,4.0,140,26,37,2676,104,183
Chevrolet,Cavalier LS 2dr,Sedan,USA,Front,16385.0,15357.0,2.2,4.0,140,26,37,2617,104,183
Chevrolet,Impala 4dr,Sedan,USA,Front,21900.0,20095.0,3.4,6.0,180,21,32,3465,111,200
Chevrolet,Malibu 4dr,Sedan,USA,Front,18995.0,17434.0,2.2,4.0,145,24,34,3174,106,188
Chevrolet,Malibu LS 4dr,Sedan,USA,Front,20370.0,18639.0,3.5,6.0,200,22,30,3297,106,188
Chevrolet,Monte Carlo LS 2dr,Sedan,USA,Front,21825.0,20026.0,3.4,6.0,180,21,32,3340,111,198
Chevrolet,Impala LS 4dr,Sedan,USA,Front,25000.0,22931.0,3.8,6.0,200,20,30,3476,111,200
Chevrolet,Impala SS 4dr,Sedan,USA,Front,27995.0,25672.0,3.8,6.0,240,18,28,3606,111,200
Chevrolet,Malibu LT 4dr,Sedan,USA,Front,23495.0,21551.0,3.5,6.0,200,23,32,3315,106,188
Chevrolet,Monte Carlo SS 2dr,Sedan,USA,Front,24225.0,22222.0,3.8,6.0,200,18,28,3434,111,198
Chevrolet,Astro,Sedan,USA,All,26395.0,23954.0,4.3,6.0,190,14,17,4605,111,190
Chevrolet,Venture LS,Sedan,USA,Front,27020.0,24518.0,3.4,6.0,185,19,26,3699,112,187
Chevrolet,Corvette 2dr,Sports,USA,Rear,44535.0,39068.0,5.7,8.0,350,18,25,3246,105,180
Chevrolet,Corvette convertible 2dr,Sports,USA,Rear,51535.0,45193.0,5.7,8.0,350,18,25,3248,105,180
Chevrolet,Avalanche 1500,Truck,USA,All,36100.0,31689.0,5.3,8.0,295,14,18,5678,130,222
Chevrolet,Colorado Z85,Truck,USA,All,18760.0,17070.0,2.8,4.0,175,18,23,3623,111,192
Chevrolet,Silverado 1500 Regular Cab,Truck,USA,Rear,20310.0,18480.0,4.3,6.0,200,15,21,4142,119,206
Chevrolet,Silverado SS,Truck,USA,All,40340.0,35399.0,6.0,8.0,300,13,17,4804,144,238
Chevrolet,SSR,Truck,USA,Rear,41995.0,39306.0,5.3,8.0,300,16,19,4760,116,191
Chevrolet,Malibu Maxx LS,Wagon,USA,Front,22225.0,20394.0,3.5,6.0,200,22,30,3458,112,188
Chrysler,PT Cruiser 4dr,Sedan,USA,Front,17985.0,16919.0,2.4,4.0,150,22,29,3101,103,169
Chrysler,PT Cruiser Limited 4dr,Sedan,USA,Front,22000.0,20573.0,2.4,4.0,150,22,29,3105,103,169
Chrysler,Sebring 4dr,Sedan,USA,Front,19090.0,17805.0,2.4,4.0,150,22,30,3173,108,191
Chrysler,Sebring Touring 4dr,Sedan,USA,Front,21840.0,20284.0,2.7,6.0,200,21,28,3222,108,191
Chrysler,300M 4dr,Sedan,USA,Front,29865.0,27797.0,3.5,6.0,250,18,27,3581,113,198
Chrysler,Concorde LX 4dr,Sedan,USA,Front,24130.0,22452.0,2.7,6.0,200,21,29,3479,113,208
Chrysler,Concorde LXi 4dr,Sedan,USA,Front,26860.0,24909.0,3.5,6.0,232,19,27,3548,113,208
Chrysler,PT Cruiser GT 4dr,Sedan,USA,Front,25955.0,24172.0,2.4,4.0,220,21,27,3217,103,169
Chrysler,Sebring convertible 2dr,Sedan,USA,Front,25215.0,23451.0,2.4,4.0,150,22,30,3357,106,194
Chrysler,300M Special Edition 4dr,Sedan,USA,Front,33295.0,30884.0,3.5,6.0,255,18,27,3650,113,198
Chrysler,Sebring Limited convertible 2dr,Sedan,USA,Front,30950.0,28613.0,2.7,6.0,200,21,28,3448,106,194
Chrysler,Town and Country LX,Sedan,USA,Front,27490.0,25371.0,3.3,6.0,180,19,26,4068,119,201
Chrysler,Town and Country Limited,Sedan,USA,Front,38380.0,35063.0,3.8,6.0,215,18,25,4331,119,201
Chrysler,Crossfire 2dr,Sports,USA,Rear,34495.0,32033.0,3.2,6.0,215,17,25,3060,95,160
Chrysler,Pacifica,Wagon,USA,Rear,31230.0,28725.0,3.5,6.0,250,17,23,4675,116,199
Dodge,Durango SLT,SUV,USA,All,32235.0,29472.0,4.7,8.0,230,15,21,4987,119,201
Dodge,Neon SE 4dr,Sedan,USA,Front,13670.0,12849.0,2.0,4.0,132,29,36,2581,105,174
Dodge,Neon SXT 4dr,Sedan,USA,Front,15040.0,14086.0,2.0,4.0,132,29,36,2626,105,174
Dodge,Intrepid SE 4dr,Sedan,USA,Front,22035.0,20502.0,2.7,6.0,200,21,29,3469,113,204
Dodge,Stratus SXT 4dr,Sedan,USA,Front,18820.0,17512.0,2.4,4.0,150,21,28,3182,108,191
Dodge,Stratus SE 4dr,Sedan,USA,Front,20220.0,18821.0,2.4,4.0,150,21,28,3175,108,191
Dodge,Intrepid ES 4dr,Sedan,USA,Front,24885.0,23058.0,3.5,6.0,232,18,27,3487,113,204
Dodge,Caravan SE,Sedan,USA,Front,21795.0,20508.0,2.4,4.0,150,20,26,3862,113,189
Dodge,Grand Caravan SXT,Sedan,USA,All,32660.0,29812.0,3.8,6.0,215,18,25,4440,119,201
Dodge,Viper SRT-10 convertible 2dr,Sports,USA,Rear,81795.0,74451.0,8.3,10.0,500,12,20,3410,99,176
Dodge,Dakota Regular Cab,Truck,USA,Rear,17630.0,16264.0,3.7,6.0,210,16,22,3714,112,193
Dodge,Dakota Club Cab,Truck,USA,Rear,20300.0,18670.0,3.7,6.0,210,16,22,3829,131,219
Dodge,Ram 1500 Regular Cab ST,Truck,USA,Rear,20215.0,18076.0,3.7,6.0,215,16,21,4542,121,208
Ford,Excursion 6.8 XLT,SUV,USA,All,41475.0,36494.0,6.8,10.0,310,10,13,7190,137,227
Ford,Expedition 4.6 XLT,SUV,USA,Front,34560.0,30468.0,4.6,8.0,232,15,19,5000,119,206
Ford,Explorer XLT V6,SUV,USA,All,29670.0,26983.0,4.0,6.0,210,15,20,4463,114,190
Ford,Escape XLS,SUV,USA,All,22515.0,20907.0,3.0,6.0,201,18,23,3346,103,173
Ford,Focus ZX3 2dr hatch,Sedan,USA,Front,13270.0,12482.0,2.0,4.0,130,26,33,2612,103,168
Ford,Focus LX 4dr,Sedan,USA,Front,13730.0,12906.0,2.0,4.0,110,27,36,2606,103,168
Ford,Focus SE 4dr,Sedan,USA,Front,15460.0,14496.0,2.0,4.0,130,26,33,2606,103,168
Ford,Focus ZX5 5dr,Sedan,USA,Front,15580.0,14607.0,2.0,4.0,130,26,33,2691,103,168
Ford,Focus SVT 2dr,Sedan,USA,Front,19135.0,17878.0,2.0,4.0,170,21,28,2750,103,168
Ford,Taurus LX 4dr,Sedan,USA,Front,20320.0,18881.0,3.0,6.0,155,20,27,3306,109,198
Ford,Taurus SES Duratec 4dr,Sedan,USA,Front,22735.0,20857.0,3.0,6.0,201,19,26,3313,109,198
Ford,Crown Victoria 4dr,Sedan,USA,Rear,24345.0,22856.0,4.6,8.0,224,17,25,4057,115,212
Ford,Crown Victoria LX 4dr,Sedan,USA,Rear,27370.0,25105.0,4.6,8.0,224,17,25,4057,115,212
Ford,Crown Victoria LX Sport 4dr,Sedan,USA,Rear,30315.0,27756.0,4.6,8.0,239,17,25,4057,115,212
Ford,Freestar SE,Sedan,USA,Front,26930.0,24498.0,3.9,6.0,193,17,23,4275,121,201
Ford,Mustang 2dr (convertible),Sports,USA,Rear,18345.0,16943.0,3.8,6.0,193,20,29,3290,101,183
Ford,Mustang GT Premium convertible 2dr,Sports,USA,Rear,29380.0,26875.0,4.6,8.0,260,17,25,3347,101,183
Ford,Thunderbird Deluxe convert w/hardtop 2d,Sports,USA,Front,37530.0,34483.0,3.9,8.0,280,17,24,3780,107,186
Ford,F-150 Regular Cab XL,Truck,USA,Rear,22010.0,19490.0,4.6,8.0,231,15,19,4788,126,211
Ford,F-150 Supercab Lariat,Truck,USA,All,33540.0,29405.0,5.4,8.0,300,14,18,5464,133,218
Ford,Ranger 2.3 XL Regular Cab,Truck,USA,Rear,14385.0,13717.0,2.3,4.0,143,24,29,3028,111,188
Ford,Focus ZTW,Wagon,USA,Front,17475.0,16375.0,2.0,4.0,130,26,33,2702,103,178
Ford,Taurus SE,Wagon,USA,Front,22290.0,20457.0,3.0,6.0,155,19,26,3497,109,198
GMC,Envoy XUV SLE,SUV,USA,Front,31890.0,28922.0,4.2,6.0,275,15,19,4945,129,208
GMC,Yukon 1500 SLE,SUV,USA,Front,35725.0,31361.0,4.8,8.0,285,16,19,5042,116,199
GMC,Yukon XL 2500 SLT,SUV,USA,All,46265.0,40534.0,6.0,8.0,325,13,17,6133,130,219
GMC,Safari SLE,Sedan,USA,Rear,25640.0,23215.0,4.3,6.0,190,16,20,4309,111,190
GMC,Canyon Z85 SL Regular Cab,Truck,USA,Rear,16530.0,14877.0,2.8,4.0,175,18,25,3351,111,192
GMC,Sierra Extended Cab 1500,Truck,USA,Rear,25717.0,22604.0,4.8,8.0,285,17,20,4548,144,230
GMC,Sierra HD 2500,Truck,USA,All,29322.0,25759.0,6.0,8.0,300,13,18,5440,133,222
GMC,Sonoma Crew Cab,Truck,USA,All,25395.0,23043.0,4.3,6.0,190,15,19,4083,123,208
Honda,Civic Hybrid 4dr manual (gas/electric),Hybrid,Asia,Front,20140.0,18451.0,1.4,4.0,93,46,51,2732,103,175
Honda,Insight 2dr (gas/electric),Hybrid,Asia,Front,19110.0,17911.0,2.0,3.0,73,60,66,1850,95,155
Honda,Pilot LX,SUV,Asia,All,27560.0,24843.0,3.5,6.0,240,17,22,4387,106,188
Honda,CR-V LX,SUV,Asia,All,19860.0,18419.0,2.4,4.0,160,21,25,3258,103,179
Honda,Element LX,SUV,Asia,All,18690.0,17334.0,2.4,4.0,160,21,24,3468,101,167
Honda,Civic DX 2dr,Sedan,Asia,Front,13270.0,12175.0,1.7,4.0,115,32,38,2432,103,175
Honda,Civic HX 2dr,Sedan,Asia,Front,14170.0,12996.0,1.7,4.0,117,36,44,2500,103,175
Honda,Civic LX 4dr,Sedan,Asia,Front,15850.0,14531.0,1.7,4.0,115,32,38,2513,103,175
Honda,Accord LX 2dr,Sedan,Asia,Front,19860.0,17924.0,2.4,4.0,160,26,34,2994,105,188
Honda,Accord EX 2dr,Sedan,Asia,Front,22260.0,20080.0,2.4,4.0,160,26,34,3047,105,188
Honda,Civic EX 4dr,Sedan,Asia,Front,17750.0,16265.0,1.7,4.0,127,32,37,2601,103,175
Honda,Civic Si 2dr hatch,Sedan,Asia,Front,19490.0,17849.0,2.0,4.0,160,26,30,2782,101,166
Honda,Accord LX V6 4dr,Sedan,Asia,Front,23760.0,21428.0,3.0,6.0,240,21,30,3349,108,190
Honda,Accord EX V6 2dr,Sedan,Asia,Front,26960.0,24304.0,3.0,6.0,240,21,30,3294,105,188
Honda,Odyssey LX,Sedan,Asia,Front,24950.0,22498.0,3.5,6.0,240,18,25,4310,118,201
Honda,Odyssey EX,Sedan,Asia,Front,27450.0,24744.0,3.5,6.0,240,18,25,4365,118,201
Honda,S2000 convertible 2dr,Sports,Asia,Rear,33260.0,29965.0,2.2,4.0,240,20,25,2835,95,162
Hummer,H2,SUV,USA,All,49995.0,45815.0,6.0,8.0,316,10,12,6400,123,190
Hyundai,Santa Fe GLS,SUV,Asia,Front,21589.0,20201.0,2.7,6.0,173,20,26,3549,103,177
Hyundai,Accent 2dr hatch,Sedan,Asia,Front,10539.0,10107.0,1.6,4.0,103,29,33,2255,96,167
Hyundai,Accent GL 4dr,Sedan,Asia,Front,11839.0,11116.0,1.6,4.0,103,29,33,2290,96,167
Hyundai,Accent GT 2dr hatch,Sedan,Asia,Front,11939.0,11209.0,1.6,4.0,103,29,33,2339,96,167
Hyundai,Elantra GLS 4dr,Sedan,Asia,Front,13839.0,12781.0,2.0,4.0,138,26,34,2635,103,178
Hyundai,Elantra GT 4dr,Sedan,Asia,Front,15389.0,14207.0,2.0,4.0,138,26,34,2635,103,178
Hyundai,Elantra GT 4dr hatch,Sedan,Asia,Front,15389.0,14207.0,2.0,4.0,138,26,34,2698,103,178
Hyundai,Sonata GLS 4dr,Sedan,Asia,Front,19339.0,17574.0,2.7,6.0,170,19,27,3217,106,187
Hyundai,Sonata LX 4dr,Sedan,Asia,Front,20339.0,18380.0,2.7,6.0,170,19,27,3217,106,187
Hyundai,XG350 4dr,Sedan,Asia,Front,24589.0,22055.0,3.5,6.0,194,17,26,3651,108,192
Hyundai,XG350 L 4dr,Sedan,Asia,Front,26189.0,23486.0,3.5,6.0,194,17,26,3651,108,192
Hyundai,Tiburon GT V6 2dr,Sports,Asia,Front,18739.0,17101.0,2.7,6.0,172,19,26,3023,100,173
Infiniti,G35 4dr,Sedan,Asia,Rear,28495.0,26157.0,3.5,6.0,260,18,26,3336,112,187
Infiniti,G35 Sport Coupe 2dr,Sedan,Asia,Rear,29795.0,27536.0,3.5,6.0,280,18,26,3416,112,182
Infiniti,G35 4dr,Sedan,Asia,All,32445.0,29783.0,3.5,6.0,260,18,26,3677,112,187
Infiniti,I35 4dr,Sedan,Asia,Front,31145.0,28320.0,3.5,6.0,255,19,26,3306,108,194
Infiniti,M45 4dr,Sedan,Asia,Rear,42845.0,38792.0,4.5,8.0,340,17,23,3851,110,197
Infiniti,Q45 Luxury 4dr,Sedan,Asia,Rear,52545.0,47575.0,4.5,8.0,340,17,23,3977,113,200
Infiniti,FX35,Wagon,Asia,Rear,34895.0,31756.0,3.5,6.0,280,16,22,4056,112,189
Infiniti,FX45,Wagon,Asia,All,36395.0,33121.0,4.5,8.0,315,15,19,4309,112,189
Isuzu,Ascender S,SUV,Asia,All,31849.0,29977.0,4.2,6.0,275,15,20,4967,129,208
Isuzu,Rodeo S,SUV,Asia,Front,20449.0,19261.0,3.2,6.0,193,17,21,3836,106,178
Jaguar,X-Type 2.5 4dr,Sedan,Europe,All,29995.0,27355.0,2.5,6.0,192,18,26,3428,107,184
Jaguar,X-Type 3.0 4dr,Sedan,Europe,All,33995.0,30995.0,3.0,6.0,227,18,25,3516,107,184
Jaguar,S-Type 3.0 4dr,Sedan,Europe,Rear,43895.0,40004.0,3.0,6.0,235,18,26,3777,115,192
Jaguar,S-Type 4.2 4dr,Sedan,Europe,Rear,49995.0,45556.0,4.2,8.0,294,18,28,3874,115,192
Jaguar,S-Type R 4dr,Sedan,Europe,Rear,63120.0,57499.0,4.2,8.0,390,17,24,4046,115,192
Jaguar,Vanden Plas 4dr,Sedan,Europe,Rear,68995.0,62846.0,4.2,8.0,294,18,28,3803,119,200
Jaguar,XJ8 4dr,Sedan,Europe,Rear,59995.0,54656.0,4.2,8.0,294,18,28,3803,119,200
Jaguar,XJR 4dr,Sedan,Europe,Rear,74995.0,68306.0,4.2,8.0,390,17,24,3948,119,200
Jaguar,XK8 coupe 2dr,Sports,Europe,Rear,69995.0,63756.0,4.2,8.0,294,18,26,3779,102,187
Jaguar,XK8 convertible 2dr,Sports,Europe,Rear,74995.0,68306.0,4.2,8.0,294,18,26,3980,102,187
Jaguar,XKR coupe 2dr,Sports,Europe,Rear,81995.0,74676.0,4.2,8.0,390,16,23,3865,102,187
Jaguar,XKR convertible 2dr,Sports,Europe,Rear,86995.0,79226.0,4.2,8.0,390,16,23,4042,102,187
Jeep,Grand Cherokee Laredo,SUV,USA,Front,27905.0,25686.0,4.0,6.0,195,16,21,3790,106,181
Jeep,Liberty Sport,SUV,USA,All,20130.0,18973.0,2.4,4.0,150,20,24,3826,104,174
Jeep,Wrangler Sahara convertible 2dr,SUV,USA,All,25520.0,23275.0,4.0,6.0,190,16,19,3575,93,150
Kia,Sorento LX,SUV,Asia,Front,19635.0,18630.0,3.5,6.0,192,16,19,4112,107,180
Kia,Optima LX 4dr,Sedan,Asia,Front,16040.0,14910.0,2.4,4.0,138,23,30,3281,106,186
Kia,Rio 4dr manual,Sedan,Asia,Front,10280.0,9875.0,1.6,4.0,104,26,33,2403,95,167
Kia,Rio 4dr auto,Sedan,Asia,Front,11155.0,10705.0,1.6,4.0,104,25,32,2458,95,167
Kia,Spectra 4dr,Sedan,Asia,Front,12360.0,11630.0,1.8,4.0,124,24,32,2661,101,178
Kia,Spectra GS 4dr hatch,Sedan,Asia,Front,13580.0,12830.0,1.8,4.0,124,24,32,2686,101,178
Kia,Spectra GSX 4dr hatch,Sedan,Asia,Front,14630.0,13790.0,1.8,4.0,124,24,32,2697,101,178
Kia,Optima LX V6 4dr,Sedan,Asia,Front,18435.0,16850.0,2.7,6.0,170,20,27,3279,106,186
Kia,Amanti 4dr,Sedan,Asia,Front,26000.0,23764.0,3.5,6.0,195,17,25,4021,110,196
Kia,Sedona LX,Sedan,Asia,Front,20615.0,19400.0,3.5,6.0,195,16,22,4802,115,194
Kia,Rio Cinco,Wagon,Asia,Front,11905.0,11410.0,1.6,4.0,104,26,33,2447,95,167
